EventID,Timestamp,Flag,Name_src,DM,MaxSNR,BeamID,TriggerSent,filename,TriggerInfo,mtime
"20250531_040134Z","2025-05-31T04:01:34.487557+00:00","PSR","Crab (PSR B0531+21)",56.761558225025055,15.859375,124,true,"event-20250531_040134Z.json",[object Object],1748664097389.864
"20250530_065504Z","2025-05-30T06:55:04.754181+00:00","PSR","Crab (PSR B0531+21)",56.761558225025055,11.640625,125,true,"event-20250530_065504Z.json",[object Object],1748588107100.3667
"20250530_065104Z","2025-05-30T06:51:04.467461+00:00","PSR","Crab (PSR B0531+21)",56.29245443804138,9.1484375,126,true,"event-20250530_065104Z.json",[object Object],1748587867273.7715
"20250530_063606Z","2025-05-30T06:36:06.498309+00:00","PSR","Crab (PSR B0531+21)",55.8233506510577,9.953125,126,true,"event-20250530_063606Z.json",[object Object],1748586969115.8467
"20250530_063545Z","2025-05-30T06:35:45.528837+00:00","PSR","Crab (PSR B0531+21)",56.29245443804138,14.421875,127,true,"event-20250530_063545Z.json",[object Object],1748586948345.7056
"20250530_062401Z","2025-05-30T06:24:01.934341+00:00","PSR","Crab (PSR B0531+21)",56.761558225025055,13.2265625,112,true,"event-20250530_062401Z.json",[object Object],1748586244605.926
"20250530_061522Z","2025-05-30T06:15:22.206213+00:00","PSR","Crab (PSR B0531+21)",56.29245443804138,11.171875,113,true,"event-20250530_061522Z.json",[object Object],1748585724747.5332
"20250530_061431Z","2025-05-30T06:14:31.746565+00:00","PSR","Crab (PSR B0531+21)",56.29245443804138,25.09375,113,true,"event-20250530_061431Z.json",[object Object],1748585673861.2034
"20250530_061120Z","2025-05-30T06:11:20.127493+00:00","PSR","Crab (PSR B0531+21)",56.29245443804138,10.1875,113,true,"event-20250530_061120Z.json",[object Object],1748585482502.9727
"20250530_054309Z","2025-05-30T05:43:09.841413+00:00","PSR","Crab (PSR B0531+21)",56.761558225025055,9.90625,116,true,"event-20250530_054309Z.json",[object Object],1748583792195.1187
"20250530_053733Z","2025-05-30T05:37:33.170693+00:00","PSR","Crab (PSR B0531+21)",56.761558225025055,14.859375,116,true,"event-20250530_053733Z.json",[object Object],1748583455654.9832
"20250530_053006Z","2025-05-30T05:30:06.104581+00:00","PSR","Crab (PSR B0531+21)",56.29245443804138,11.5234375,117,true,"event-20250530_053006Z.json",[object Object],1748583008715.1848
"20250530_051655Z","2025-05-30T05:16:55.556101+00:00","PSR","Crab (PSR B0531+21)",56.761558225025055,31.4375,118,true,"event-20250530_051655Z.json",[object Object],1748582218355.0623
"20250530_051634Z","2025-05-30T05:16:34.584581+00:00","PSR","Crab (PSR B0531+21)",56.761558225025055,80.8125,118,true,"event-20250530_051634Z.json",[object Object],1748582197276.9238
"20250530_045454Z","2025-05-30T04:54:54.168069+00:00","PSR","Crab (PSR B0531+21)",56.29245443804138,21.3125,120,true,"event-20250530_045454Z.json",[object Object],1748580896874.131
"20250530_045449Z","2025-05-30T04:54:49.836549+00:00","PSR","Crab (PSR B0531+21)",56.29245443804138,9.625,120,true,"event-20250530_045449Z.json",[object Object],1748580892699.1042
"20250530_045303Z","2025-05-30T04:53:03.481861+00:00","PSR","Crab (PSR B0531+21)",56.761558225025055,20.53125,120,true,"event-20250530_045303Z.json",[object Object],1748580786254.4155
"20250530_044230Z","2025-05-30T04:42:30.875141+00:00","PSR","Crab (PSR B0531+21)",56.29245443804138,12.9921875,121,true,"event-20250530_044230Z.json",[object Object],1748580153666.334
"20250530_043942Z","2025-05-30T04:39:42.799877+00:00","PSR","Crab (PSR B0531+21)",56.29245443804138,11.3515625,121,true,"event-20250530_043942Z.json",[object Object],1748579985801.2397
"20250530_043921Z","2025-05-30T04:39:21.828357+00:00","PSR","Crab (PSR B0531+21)",56.29245443804138,20.28125,121,true,"event-20250530_043921Z.json",[object Object],1748579964694.102
"20250530_042957Z","2025-05-30T04:29:57.125125+00:00","PSR","Crab (PSR B0531+21)",56.761558225025055,11.1484375,122,true,"event-20250530_042957Z.json",[object Object],1748579399728.4255
"20250530_042704Z","2025-05-30T04:27:04.628229+00:00","PSR","Crab (PSR B0531+21)",56.761558225025055,23.75,122,true,"event-20250530_042704Z.json",[object Object],1748579227255.3264
"20250530_041758Z","2025-05-30T04:17:58.198277+00:00","PSR","Crab (PSR B0531+21)",56.29245443804138,11.90625,123,true,"event-20250530_041758Z.json",[object Object],1748578680750.8518
"20250530_041637Z","2025-05-30T04:16:37.957637+00:00","PSR","Crab (PSR B0531+21)",56.29245443804138,9.90625,123,true,"event-20250530_041637Z.json",[object Object],1748578600403.0005
"20250530_041631Z","2025-05-30T04:16:31.255557+00:00","PSR","Crab (PSR B0531+21)",56.29245443804138,9.2578125,123,true,"event-20250530_041631Z.json",[object Object],1748578593510.919
"20250530_035944Z","2025-05-30T03:59:44.969733+00:00","PSR","Crab (PSR B0531+21)",56.29245443804138,15.15625,125,true,"event-20250530_035944Z.json",[object Object],1748577587283.666
"20250530_035514Z","2025-05-30T03:55:14.768901+00:00","PSR","Crab (PSR B0531+21)",56.761558225025055,9.5,125,true,"event-20250530_035514Z.json",[object Object],1748577317259.0083
"20250530_034839Z","2025-05-30T03:48:39.482373+00:00","PSR","Crab (PSR B0531+21)",56.29245443804138,19.6875,125,true,"event-20250530_034839Z.json",[object Object],1748576921931.551
"20250529_063954Z","2025-05-29T06:39:54.685445+00:00","PSR","Crab (PSR B0531+21)",56.29245443804138,12.828125,127,true,"event-20250529_063954Z.json",[object Object],1748500797408.2502
"20250529_062030Z","2025-05-29T06:20:30.215173+00:00","PSR","Crab (PSR B0531+21)",56.761558225025055,23.015625,113,true,"event-20250529_062030Z.json",[object Object],1748499632624.9817
"20250529_061029Z","2025-05-29T06:10:29.299205+00:00","PSR","Crab (PSR B0531+21)",56.761558225025055,12.2421875,114,true,"event-20250529_061029Z.json",[object Object],1748499031920.2332
"20250529_060243Z","2025-05-29T06:02:43.822597+00:00","PSR","Crab (PSR B0531+21)",56.29245443804138,10.609375,114,true,"event-20250529_060243Z.json",[object Object],1748498566346.318
"20250529_055159Z","2025-05-29T05:51:59.214597+00:00","PSR","Crab (PSR B0531+21)",56.29245443804138,14.3671875,115,true,"event-20250529_055159Z.json",[object Object],1748497922066.5771
"20250529_053840Z","2025-05-29T05:38:40.283653+00:00","PSR","Crab (PSR B0531+21)",56.29245443804138,10.09375,116,true,"event-20250529_053840Z.json",[object Object],1748497122706.7231
"20250529_053543Z","2025-05-29T05:35:43.521797+00:00","PSR","Crab (PSR B0531+21)",56.29245443804138,10.015625,117,true,"event-20250529_053543Z.json",[object Object],1748496946555.6206
"20250529_052019Z","2025-05-29T05:20:19.845125+00:00","PSR","Crab (PSR B0531+21)",56.761558225025055,10.6953125,118,true,"event-20250529_052019Z.json",[object Object],1748496022713.336
"20250529_043436Z","2025-05-29T04:34:36.769285+00:00","PSR","Crab (PSR B0531+21)",56.29245443804138,9.4140625,122,true,"event-20250529_043436Z.json",[object Object],1748493279151.9216
"20250529_043359Z","2025-05-29T04:33:59.101445+00:00","PSR","Crab (PSR B0531+21)",56.29245443804138,13.203125,122,true,"event-20250529_043359Z.json",[object Object],1748493241393.675
"20250529_035746Z","2025-05-29T03:57:46.146821+00:00","PSR","Crab (PSR B0531+21)",56.761558225025055,36.65625,125,true,"event-20250529_035746Z.json",[object Object],1748491068760.4998
"20250529_033545Z","2025-05-29T03:35:45.120261+00:00","PSR","Crab (PSR B0531+21)",56.761558225025055,9.140625,127,true,"event-20250529_033545Z.json",[object Object],1748489747816.4956
"20250528_063934Z","2025-05-28T06:39:34.099973+00:00","PSR","Crab (PSR B0531+21)",55.8233506510577,10.171875,127,true,"event-20250528_063934Z.json",[object Object],1748414376756.441
"20250528_063216Z","2025-05-28T06:32:16.374789+00:00","PSR","Crab (PSR B0531+21)",56.29245443804138,9.3359375,112,true,"event-20250528_063216Z.json",[object Object],1748413938981.6074
"20250528_062637Z","2025-05-28T06:26:37.303813+00:00","PSR","Crab (PSR B0531+21)",57.230662012008736,11.6640625,113,true,"event-20250528_062637Z.json",[object Object],1748413599969.4128
"20250528_061735Z","2025-05-28T06:17:35.327237+00:00","PSR","Crab (PSR B0531+21)",56.29245443804138,9.0859375,114,true,"event-20250528_061735Z.json",[object Object],1748413058231.9065
"20250528_061714Z","2025-05-28T06:17:14.356741+00:00","PSR","Crab (PSR B0531+21)",56.29245443804138,19.015625,113,true,"event-20250528_061714Z.json",[object Object],1748413036859.768
"20250528_060712Z","2025-05-28T06:07:12.120837+00:00","PSR","Crab (PSR B0531+21)",56.761558225025055,20.375,114,true,"event-20250528_060712Z.json",[object Object],1748412434871.8716
"20250528_060639Z","2025-05-28T06:06:39.157253+00:00","PSR","Crab (PSR B0531+21)",56.761558225025055,24.65625,114,true,"event-20250528_060639Z.json",[object Object],1748412401780.6572
"20250528_055606Z","2025-05-28T05:56:06.983685+00:00","PSR","Crab (PSR B0531+21)",56.761558225025055,36.125,115,true,"event-20250528_055606Z.json",[object Object],1748411769452.3977
"20250528_054817Z","2025-05-28T05:48:17.736709+00:00","PSR","Crab (PSR B0531+21)",56.761558225025055,15.578125,116,true,"event-20250528_054817Z.json",[object Object],1748411299896.2021
"20250528_053720Z","2025-05-28T05:37:20.572421+00:00","PSR","Crab (PSR B0531+21)",56.29245443804138,23.625,117,true,"event-20250528_053720Z.json",[object Object],1748410643271.8289
"20250528_053150Z","2025-05-28T05:31:50.907909+00:00","PSR","Crab (PSR B0531+21)",56.29245443804138,20.921875,117,true,"event-20250528_053150Z.json",[object Object],1748410313577.7092
"20250528_045157Z","2025-05-28T04:51:57.079557+00:00","PSR","Crab (PSR B0531+21)",56.29245443804138,22.765625,121,true,"event-20250528_045157Z.json",[object Object],1748407919625.5916
"20250528_045136Z","2025-05-28T04:51:36.108037+00:00","PSR","Crab (PSR B0531+21)",56.29245443804138,47.28125,121,true,"event-20250528_045136Z.json",[object Object],1748407899092.4424
"20250528_045122Z","2025-05-28T04:51:22.232837+00:00","PSR","Crab (PSR B0531+21)",56.761558225025055,27.546875,121,true,"event-20250528_045122Z.json",[object Object],1748407885122.3408
"20250526_063054Z","2025-05-26T06:30:54.455813+00:00","PSR","Crab (PSR B0531+21)",56.29245443804138,54.0625,113,true,"event-20250526_063054Z.json",[object Object],1748241056784.549
"20250526_061817Z","2025-05-26T06:18:17.523205+00:00","PSR","Crab (PSR B0531+21)",56.761558225025055,45.28125,114,true,"event-20250526_061817Z.json",[object Object],1748240299971.243
"20250526_061724Z","2025-05-26T06:17:24.403205+00:00","PSR","Crab (PSR B0531+21)",56.29245443804138,21.734375,114,true,"event-20250526_061724Z.json",[object Object],1748240247027.9893
"20250526_054400Z","2025-05-26T05:44:00.576517+00:00","PSR","Crab (PSR B0531+21)",56.761558225025055,22.875,117,true,"event-20250526_054400Z.json",[object Object],1748238243209.5835
"20250526_050437Z","2025-05-26T05:04:37.621765+00:00","PSR","Crab (PSR B0531+21)",56.761558225025055,17.875,120,true,"event-20250526_050437Z.json",[object Object],1748235880069.6226
"20250526_042524Z","2025-05-26T04:25:24.345861+00:00","PSR","Crab (PSR B0531+21)",56.29245443804138,15.3984375,124,true,"event-20250526_042524Z.json",[object Object],1748233527262.7524
"20250526_040728Z","2025-05-26T04:07:28.273413+00:00","PSR","Crab (PSR B0531+21)",56.761558225025055,32.3125,125,true,"event-20250526_040728Z.json",[object Object],1748232450576.7327
"20250525_060018Z","2025-05-25T06:00:18.056197+00:00","PSR","Crab (PSR B0531+21)",56.761558225025055,20.46875,116,true,"event-20250525_060018Z.json",[object Object],1748152820684.3445
"20250525_050013Z","2025-05-25T05:00:13.263877+00:00","PSR","Crab (PSR B0531+21)",56.761558225025055,17.59375,121,true,"event-20250525_050013Z.json",[object Object],1748149216020.296
"20250524_065405Z","2025-05-24T06:54:05.686789+00:00","PSR","Crab (PSR B0531+21)",56.761558225025055,17.34375,112,true,"event-20250524_065405Z.json",[object Object],1748069648503.1956
"20250524_061417Z","2025-05-24T06:14:17.910277+00:00","PSR","Crab (PSR B0531+21)",56.29245443804138,16.09375,115,true,"event-20250524_061417Z.json",[object Object],1748067261050.223
"20250524_061356Z","2025-05-24T06:13:56.938757+00:00","PSR","Crab (PSR B0531+21)",56.761558225025055,66.9375,115,true,"event-20250524_061356Z.json",[object Object],1748067240539.1038
"20250524_060126Z","2025-05-24T06:01:26.907909+00:00","PSR","Crab (PSR B0531+21)",56.29245443804138,18.03125,116,true,"event-20250524_060126Z.json",[object Object],1748066489508.6267
"20250524_051449Z","2025-05-24T05:14:49.439237+00:00","PSR","Crab (PSR B0531+21)",56.29245443804138,28.96875,120,true,"event-20250524_051449Z.json",[object Object],1748063692068.3594
"20250524_051322Z","2025-05-24T05:13:22.192389+00:00","PSR","Crab (PSR B0531+21)",56.761558225025055,23,120,true,"event-20250524_051322Z.json",[object Object],1748063604950.7664
"20250524_050731Z","2025-05-24T05:07:31.524613+00:00","PSR","Crab (PSR B0531+21)",56.761558225025055,16.890625,121,true,"event-20250524_050731Z.json",[object Object],1748063254226.3794
"20250524_041600Z","2025-05-24T04:16:00.556037+00:00","PSR","Crab (PSR B0531+21)",56.761558225025055,15.65625,125,true,"event-20250524_041600Z.json",[object Object],1748060162751.6484
"20250523_064632Z","2025-05-23T06:46:32.975365+00:00","PSR","Crab (PSR B0531+21)",56.29245443804138,24.328125,113,true,"event-20250523_064632Z.json",[object Object],1747982795127.6975
"20250523_063339Z","2025-05-23T06:33:39.695621+00:00","PSR","Crab (PSR B0531+21)",56.761558225025055,15.59375,114,true,"event-20250523_063339Z.json",[object Object],1747982022554.1516
"20250523_061911Z","2025-05-23T06:19:11.247365+00:00","PSR","Crab (PSR B0531+21)",56.761558225025055,46.53125,115,true,"event-20250523_061911Z.json",[object Object],1747981154095.7607
"20250523_061625Z","2025-05-23T06:16:25.822213+00:00","PSR","Crab (PSR B0531+21)",56.761558225025055,20.421875,115,true,"event-20250523_061625Z.json",[object Object],1747980988773.5552
